,status_group
18339,functional
14940,functional
50811,functional
9826,functional
43690,functional
54904,non functional
27471,functional
26217,functional
3031,non functional
36152,functional
10390,non functional
116,functional
5356,functional
57812,non functional
34991,functional
5405,functional
11987,functional needs repair
36562,functional
14704,functional
20252,functional
53754,non functional
32558,functional
19437,non functional
56444,functional needs repair
54101,functional needs repair
19474,functional
46683,functional
34220,functional
36893,functional needs repair
45302,functional
3739,functional
31447,non functional
6832,non functional
34896,non functional
5568,non functional
44361,functional
58737,functional
20200,non functional
13671,functional
16429,non functional
18173,functional
49386,non functional
26963,functional
39383,functional
24212,functional
37794,functional
15249,non functional
18176,non functional
47405,functional
25331,functional
34251,non functional
42076,functional needs repair
42605,functional
53279,functional
45996,non functional
41704,functional
447,functional
14295,non functional
5907,non functional
40384,non functional
686,functional
52902,non functional
56046,functional
3647,functional
54777,non functional
37735,functional
38188,non functional
19842,functional
22126,non functional
45190,functional
41667,non functional
33985,non functional
45259,functional
5994,functional
22874,functional needs repair
29235,functional
52344,functional
9420,non functional
48481,non functional
10077,functional
28116,functional
58503,non functional
18713,non functional
39035,non functional
47338,functional
32211,functional
38052,functional
2952,functional
53943,non functional
38664,functional
32858,functional
51597,non functional
49915,non functional
16073,non functional
30759,functional
27615,non functional
21052,functional
2195,non functional
29887,functional
45828,non functional
45935,functional
52099,functional
28361,non functional
8649,functional
6847,non functional
5504,non functional
29210,functional
31590,functional
27587,functional
40192,functional
45353,functional
16354,non functional
52693,functional
31111,non functional
46657,functional
18500,functional
35913,non functional
28332,functional needs repair
53097,non functional
40242,non functional
1631,non functional
44506,functional
30906,non functional
31123,non functional
23311,functional
2510,functional
839,functional needs repair
34868,functional
40302,functional
17319,functional
56965,non functional
6763,non functional
24420,functional
48697,functional
27510,functional
45527,non functional
58229,functional
47050,functional
11343,non functional
38868,functional
17471,non functional
43610,functional
52522,non functional
34760,functional
22685,functional
24975,functional
56756,non functional
10388,non functional
13062,non functional
21221,non functional
18956,non functional
11168,functional
27936,non functional
54649,functional
52856,functional
54160,functional
23417,non functional
7560,non functional
1846,non functional
26071,functional
34807,functional
30626,non functional
24684,non functional
49307,non functional
45692,functional
606,functional
1775,functional needs repair
120,non functional
38794,functional
8692,functional
3581,functional
34452,non functional
42762,functional
3197,functional
2865,non functional
17052,non functional
30419,functional
8663,functional
32770,non functional
18048,non functional
16323,functional
9928,functional
39766,functional
45121,functional needs repair
29817,functional
40376,non functional
51532,functional
26501,functional
16933,non functional
26322,non functional
40966,functional
43946,functional
34867,non functional
50285,non functional
28487,non functional
10122,functional
27613,functional
49843,non functional
42119,functional
18842,non functional
50608,functional
58390,non functional
20631,functional
25697,functional
16342,functional
36720,functional
36619,functional
53581,non functional
55423,functional
21011,non functional
21336,functional
2888,functional
9282,functional
34429,functional
50361,functional
21787,functional
25690,functional needs repair
17394,functional
40852,functional
10586,functional needs repair
40295,non functional
21929,non functional
13553,functional
18554,functional
46164,functional
54888,functional
32554,functional
2455,functional
41356,non functional
51304,functional
17873,functional
51049,functional
42671,functional
31191,non functional
7454,functional
34739,non functional
34191,functional
53991,functional
5200,functional
45678,non functional
37161,functional
43561,non functional
9925,non functional
46618,functional
40402,non functional
21749,non functional
5662,non functional
46465,non functional
37769,functional
59236,functional
41238,functional
4592,non functional
55795,functional
46025,functional
24200,functional
61,non functional
57517,functional
23879,non functional
45770,non functional
35746,functional
37090,functional
28027,functional
409,functional
42385,non functional
1808,non functional
17523,functional
50497,non functional
30799,non functional
37238,functional
23556,non functional
36038,functional
55954,functional
12217,functional
44382,non functional
24434,functional
56042,functional
26134,functional
23317,non functional
7094,non functional
32278,functional
22845,functional
27820,non functional
58651,functional
33935,functional
48883,non functional
58381,non functional
41308,functional
57056,functional
12764,non functional
47689,functional
31048,functional
14090,non functional
59074,functional
11605,non functional
19341,functional
40897,non functional
7852,functional
57030,functional needs repair
3171,functional
52592,functional
33128,functional
51740,non functional
58687,functional
43170,functional needs repair
17104,functional
9682,non functional
14366,functional
54782,functional
41275,non functional
7468,functional
28135,non functional
22503,functional
6750,non functional
13192,functional
28191,functional
25541,non functional
21477,non functional
9801,non functional
13053,functional
47360,functional
32701,functional
55488,functional
3460,functional
59323,functional
56764,functional
45883,functional
6845,functional
7916,non functional
47985,functional
32887,non functional
30500,functional
7439,non functional
32303,functional needs repair
36419,functional
53762,functional
14217,functional
35558,non functional
34322,functional
36325,non functional
32296,functional
19243,functional needs repair
21495,functional
22704,functional
3021,non functional
43405,functional needs repair
58172,functional
42896,functional
33875,functional
51132,functional
26142,functional
42738,functional needs repair
24582,non functional
47088,non functional
34740,non functional
7584,functional
34437,functional
12870,non functional
28167,functional
30912,non functional
10337,functional
56841,functional
13631,non functional
26068,non functional
19639,functional
12065,functional
31784,non functional
3929,non functional
43051,non functional
46608,non functional
22872,functional
13835,functional needs repair
51603,functional needs repair
6965,functional
9681,functional
53733,functional
8857,functional
58700,non functional
28300,functional
57815,functional needs repair
15610,functional
50050,functional
21808,non functional
2206,functional
54365,non functional
21020,non functional
21861,functional
37165,functional
58655,non functional
16355,functional
41639,functional
37474,non functional
25073,functional
26473,functional needs repair
46283,non functional
44501,non functional
6115,functional needs repair
47149,non functional
24637,functional
41953,non functional
23152,non functional
44961,non functional
54529,functional needs repair
26072,functional
28405,functional needs repair
38586,non functional
10598,non functional
3633,functional
57873,functional
32865,non functional
19997,functional
25632,non functional
28868,functional
15505,functional needs repair
36922,functional needs repair
55211,functional needs repair
37854,non functional
47392,functional
43844,functional
44914,non functional
11499,functional
43708,functional
33838,functional
1709,functional
36102,non functional
4036,functional
25644,functional
58895,functional needs repair
56870,functional
41379,non functional
52414,functional
52318,functional
36003,non functional
2233,functional
14651,non functional
57620,functional
29132,non functional
9889,functional
49853,functional needs repair
34255,functional
15325,non functional
2222,functional
6735,functional
59189,functional needs repair
22783,functional
14313,non functional
32035,non functional
8902,functional needs repair
10151,functional
21227,non functional
15798,non functional
50924,non functional
56480,non functional
12037,functional needs repair
9532,functional
21419,non functional
46190,non functional
55765,functional
45079,non functional
50295,functional needs repair
22000,non functional
40511,functional
37725,functional
9647,functional
30103,functional
51907,non functional
58957,functional
13048,functional needs repair
14933,non functional
33806,functional
55028,non functional
49192,non functional
21374,functional
46230,functional needs repair
34509,non functional
22146,non functional
34435,functional
13959,non functional
5329,functional
37072,non functional
25620,functional
20784,functional
50143,non functional
3693,non functional
32090,functional
12648,non functional
38682,functional
2760,non functional
7547,functional needs repair
30730,non functional
22256,non functional
1467,functional
43128,non functional
55301,non functional
15397,functional
41455,functional
58247,non functional
13657,functional
5260,functional
13723,non functional
8952,non functional
27297,non functional
8904,non functional
54039,non functional
2265,non functional
45403,non functional
19412,functional
54072,functional
33636,functional
52146,functional
26904,non functional
39068,functional
52985,functional
48975,non functional
50312,functional needs repair
1544,non functional
39578,non functional
48610,non functional
7431,functional
52470,non functional
20416,functional needs repair
44577,functional
2507,functional
3490,functional
15555,non functional
15521,non functional
49204,functional
18183,non functional
53959,functional
2856,non functional
57391,functional
27173,non functional
39835,functional
28895,functional
39165,functional needs repair
44524,functional
51108,functional
6715,functional
48995,functional
14019,functional
44221,functional
24525,non functional
25018,functional
43571,functional
15856,non functional
19245,non functional
25716,functional
31827,functional
54513,non functional
39417,functional
38181,non functional
44171,non functional
26676,functional
42688,functional
30727,functional
7976,functional needs repair
28329,non functional
10838,functional
2582,functional
22089,functional
604,functional
6134,functional
37610,functional
324,functional
19983,functional
54177,non functional
2051,functional
39875,non functional
36084,functional
53685,non functional
53702,functional
16718,non functional
52718,non functional
6670,functional
11398,non functional
9205,functional
41527,functional
15255,non functional
58691,non functional
26354,non functional
7112,functional
21838,functional
17995,functional
34149,functional
21349,functional
16750,functional
43523,functional
35845,functional needs repair
29110,non functional
34982,functional
55552,non functional
30943,non functional
27261,non functional
21499,non functional
25719,non functional
45861,functional
59007,functional
1213,non functional
38972,functional
44181,functional
2269,functional
17518,functional
16487,functional
59055,non functional
10948,functional
35176,functional needs repair
58962,non functional
36689,functional
17534,non functional
38564,functional
56583,functional
18512,non functional
15944,functional
27333,functional
36791,functional
47345,functional
44023,non functional
1139,non functional
44611,functional
32336,non functional
32468,functional
45846,functional
53547,functional
3618,non functional
52066,functional
40788,functional
22596,functional
26637,functional
38128,functional
26392,non functional
55103,functional
19771,non functional
13701,functional
58207,non functional
17233,functional
52111,functional
27699,non functional
43500,non functional
52292,non functional
7442,non functional
6202,functional
32962,functional
11875,non functional
46293,non functional
54301,non functional
39665,functional
16483,non functional
26847,functional
47289,functional
13247,functional
28851,functional needs repair
16311,functional
2678,functional
43976,functional
37704,non functional
24621,functional
40652,functional
34575,non functional
54165,non functional
41710,functional
52058,functional
9549,functional
50571,non functional
7800,functional needs repair
8037,functional
7879,functional
19366,functional
55498,non functional
51423,non functional
31263,functional
26364,functional
38522,non functional
10527,non functional
44886,non functional
50353,functional
22865,functional
9427,functional needs repair
42346,non functional
29869,non functional
22608,functional
10502,functional
36504,functional
8658,functional
41965,non functional
6211,non functional
14766,functional
42588,non functional
24075,functional
39154,non functional
30650,non functional
27828,functional
53261,functional
41195,functional
47426,functional needs repair
36802,non functional
42979,non functional
51392,functional
59033,functional needs repair
32108,functional needs repair
53767,non functional
35875,functional
19327,functional
16224,functional
10562,non functional
40873,functional
2111,functional
26156,non functional
2935,functional
27465,functional
20018,non functional
9822,functional
50758,non functional
7212,functional
47859,functional
5875,functional
9105,functional
28055,functional needs repair
58566,functional
57877,functional
17132,functional
26792,functional
1684,functional needs repair
33081,functional needs repair
56150,non functional
3408,non functional
31229,non functional
15351,non functional
28187,non functional
6266,non functional
37783,functional
28165,functional
19948,functional
10454,functional
7930,functional
56159,functional
50146,functional
9523,functional needs repair
28505,non functional
1047,non functional
22309,functional
44785,non functional
27084,functional
8087,non functional
41325,functional
13558,non functional
3544,functional
12348,functional
40939,functional
25967,functional
14339,functional
23841,non functional
28905,functional
46386,functional
11266,non functional
15294,non functional
36141,non functional
29154,functional
19174,non functional
15262,functional needs repair
35846,functional
52724,non functional
35882,non functional
16706,functional
50503,functional
1997,non functional
5924,functional
47552,functional
39387,functional
44510,functional
40293,functional
11235,functional needs repair
608,non functional
17756,functional
32789,functional
47918,non functional
54681,functional
58575,functional
47984,functional
46884,non functional
32290,non functional
31137,non functional
27834,functional
49313,functional
40630,non functional
52908,non functional
54919,non functional
32473,non functional
38803,non functional
40074,non functional
21753,functional
25077,non functional
12586,non functional
37187,functional
4272,functional
54803,non functional
